price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
"$13,300,000",7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
"$12,250,000",8960,4,4,4,yes,no,no,no,yes,3,no,furnished
"$12,250,000",9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
"$12,215,000",7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
"$11,410,000",7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
"$10,850,000",7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
"$10,150,000",8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
"$10,150,000",16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
"$9,870,000",8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
"$9,800,000",5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
"$9,800,000",13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
"$9,681,000",6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
"$9,310,000",6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
"$9,240,000",3500,4,2,2,yes,no,no,yes,no,2,no,furnished
"$9,240,000",7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
"$9,100,000",6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
"$9,100,000",6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
"$8,960,000",8500,3,2,4,yes,no,no,no,yes,2,no,furnished
"$8,890,000",4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
"$8,855,000",6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
"$8,750,000",4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
"$8,680,000",7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
"$8,645,000",8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
"$8,645,000",4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
"$8,575,000",8800,3,2,2,yes,no,no,no,yes,2,no,furnished
"$8,540,000",6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
"$8,463,000",6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
"$8,400,000",8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
"$8,400,000",7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
"$8,400,000",5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
"$8,400,000",7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
"$8,400,000",7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
"$8,295,000",4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
"$8,190,000",5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
"$8,120,000",6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
"$8,080,940",7000,3,2,4,yes,no,no,no,yes,2,no,furnished
"$8,043,000",7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
"$7,980,000",9000,4,2,4,yes,no,no,no,yes,2,no,furnished
"$7,962,500",6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
"$7,910,000",6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
"$7,875,000",6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
"$7,840,000",6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
"$7,700,000",6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
"$7,700,000",6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
"$7,560,000",6000,4,2,4,yes,no,no,no,yes,1,no,furnished
"$7,560,000",6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
"$7,525,000",6000,3,2,4,yes,no,no,no,yes,1,no,furnished
"$7,490,000",6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
"$7,455,000",4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
"$7,420,000",7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
"$7,420,000",7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
"$7,420,000",6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
"$7,350,000",6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
"$7,350,000",5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
"$7,350,000",6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
"$7,350,000",6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
"$7,343,000",11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
"$7,245,000",9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
"$7,210,000",7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
"$7,210,000",6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
"$7,140,000",6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
"$7,070,000",8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
"$7,070,000",6240,4,2,2,yes,no,no,no,yes,1,no,furnished
"$7,035,000",6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
"$7,000,000",11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
"$6,930,000",8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
"$6,930,000",13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
"$6,895,000",7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
"$6,860,000",6000,3,1,1,yes,no,no,no,yes,1,no,furnished
"$6,790,000",12090,4,2,2,yes,no,no,no,no,2,yes,furnished
"$6,790,000",4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
"$6,755,000",6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
"$6,720,000",5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
"$6,685,000",6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
"$6,650,000",4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
"$6,650,000",4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
"$6,650,000",6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
"$6,650,000",6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
"$6,650,000",5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
"$6,650,000",6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
"$6,629,000",6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
"$6,615,000",4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
"$6,615,000",10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
"$6,580,000",6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
"$6,510,000",3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
"$6,510,000",8250,3,2,3,yes,no,no,no,yes,0,no,furnished
"$6,510,000",6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
"$6,475,000",3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
"$6,475,000",7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
"$6,440,000",8580,5,3,2,yes,no,no,no,no,2,no,furnished
"$6,440,000",5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
"$6,419,000",6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
"$6,405,000",4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
"$6,300,000",7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
"$6,300,000",6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
"$6,300,000",4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
"$6,300,000",9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
"$6,300,000",6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
"$6,293,000",6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
"$6,265,000",6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
"$6,230,000",6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
"$6,230,000",5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
"$6,195,000",5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
"$6,195,000",6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
"$6,195,000",5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
"$6,160,000",4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
"$6,160,000",5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
"$6,125,000",6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
"$6,107,500",3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
"$6,090,000",6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
"$6,090,000",6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
"$6,090,000",8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
"$6,083,000",4300,6,2,2,yes,no,no,no,no,0,no,furnished
"$6,083,000",9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
"$6,020,000",6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
"$6,020,000",8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
"$6,020,000",6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
"$5,950,000",3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
"$5,950,000",6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
"$5,950,000",7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
"$5,950,000",6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
"$5,950,000",7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
"$5,950,000",6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
"$5,950,000",7320,4,2,2,yes,no,no,no,no,0,no,furnished
"$5,950,000",6525,3,2,4,yes,no,no,no,no,1,no,furnished
"$5,943,000",15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
"$5,880,000",7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
"$5,880,000",6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
"$5,873,000",5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
"$5,873,000",11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
"$5,866,000",4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
"$5,810,000",5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
"$5,810,000",5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
"$5,810,000",4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
"$5,803,000",7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
"$5,775,000",6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
"$5,740,000",5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
"$5,740,000",4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
"$5,740,000",5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
"$5,740,000",6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
"$5,740,000",5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
"$5,652,500",6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
"$5,600,000",10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
"$5,600,000",4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
"$5,600,000",4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
"$5,600,000",5000,3,1,4,yes,no,no,no,no,0,no,furnished
"$5,600,000",10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
"$5,600,000",5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
"$5,600,000",6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
"$5,600,000",6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
"$5,600,000",5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
"$5,565,000",4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
"$5,565,000",5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
"$5,530,000",3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
"$5,530,000",3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
"$5,530,000",6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
"$5,523,000",6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
"$5,495,000",2817,4,2,2,no,yes,yes,no,no,1,no,furnished
"$5,495,000",7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
"$5,460,000",3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
"$5,460,000",6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
"$5,460,000",6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
"$5,460,000",6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
"$5,425,000",6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
"$5,390,000",6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
"$5,383,000",6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
"$5,320,000",7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
"$5,285,000",4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
"$5,250,000",4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
"$5,250,000",6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
"$5,250,000",5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
"$5,250,000",10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
"$5,250,000",8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
"$5,250,000",5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
"$5,250,000",3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
"$5,250,000",9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
"$5,250,000",8520,3,1,1,yes,no,no,no,yes,2,no,furnished
"$5,243,000",6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
"$5,229,000",7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
"$5,215,000",3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
"$5,215,000",4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
"$5,215,000",7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
"$5,145,000",3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
"$5,145,000",7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
"$5,110,000",3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
"$5,110,000",3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
"$5,110,000",11410,2,1,2,yes,no,no,no,no,0,yes,furnished
"$5,110,000",6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
"$5,075,000",5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
"$5,040,000",3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
"$5,040,000",7600,4,1,2,yes,no,no,no,yes,2,no,furnished
"$5,040,000",10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
"$5,040,000",6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
"$5,033,000",4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
"$5,005,000",8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
"$4,970,000",4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
"$4,970,000",7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
"$4,956,000",2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
"$4,935,000",5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
"$4,907,000",4200,3,1,2,yes,no,no,no,no,1,no,furnished
"$4,900,000",4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
"$4,900,000",4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
"$4,900,000",4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
"$4,900,000",5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
"$4,900,000",4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
"$4,900,000",6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
"$4,900,000",5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
"$4,900,000",3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
"$4,900,000",2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
"$4,900,000",6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
"$4,900,000",4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
"$4,900,000",12900,3,1,1,yes,no,no,no,no,2,no,furnished
"$4,893,000",3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
"$4,893,000",4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
"$4,865,000",4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
"$4,830,000",4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
"$4,830,000",6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
"$4,830,000",6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
"$4,830,000",4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
"$4,795,000",7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
"$4,795,000",8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
"$4,767,000",3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
"$4,760,000",9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
"$4,760,000",6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
"$4,760,000",10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
"$4,753,000",6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
"$4,690,000",5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
"$4,690,000",6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
"$4,690,000",3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
"$4,690,000",9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
"$4,690,000",5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
"$4,690,000",4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
"$4,655,000",3745,3,1,2,yes,no,yes,no,no,0,no,furnished
"$4,620,000",4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
"$4,620,000",3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
"$4,620,000",5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
"$4,620,000",2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
"$4,620,000",5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
"$4,613,000",4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
"$4,585,000",4000,3,1,2,yes,no,no,no,no,1,no,furnished
"$4,585,000",3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
"$4,550,000",3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
"$4,550,000",3640,3,1,2,yes,no,no,no,yes,0,no,furnished
"$4,550,000",2550,3,1,2,yes,no,yes,no,no,0,no,furnished
"$4,550,000",5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
"$4,550,000",5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
"$4,550,000",3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
"$4,550,000",8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
"$4,543,000",4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
"$4,543,000",4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
"$4,515,000",3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
"$4,515,000",3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
"$4,515,000",9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
"$4,515,000",3520,2,1,2,yes,no,no,no,no,0,yes,furnished
"$4,480,000",4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
"$4,480,000",5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
"$4,480,000",4000,3,1,2,yes,no,no,no,no,2,no,furnished
"$4,480,000",8250,3,1,1,yes,no,no,no,no,0,no,furnished
"$4,480,000",4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
"$4,473,000",6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
"$4,473,000",3162,3,1,2,yes,no,no,no,yes,1,no,furnished
"$4,473,000",3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
"$4,445,000",3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
"$4,410,000",3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
"$4,410,000",4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
"$4,403,000",2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
"$4,403,000",4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
"$4,403,000",4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
